Row Labels,Count of Application
/home/cadappl_RHEL8/firefox/139.0.4/wrapper/firefox.wrapper,1
/home/cadappl_RHEL8/firefox/144.0/wrapper/firefox.wrapper,163
ctxvector,162
/opt/Citrix/VDA/bin/ctxvector,162
sssd,160
/usr/sbin/sssd,160
geckodriver,159
/home/btoader/bin/geckodriver,159
dotnet,156
/usr/lib64/dotnet/dotnet,156
python3.wrapper,144
/home/cadappl_RHEL8/python3/3.10.5/wrapper/python3.wrapper,4
/home/cadappl_RHEL8/python3/3.12.6/wrapper/python3.wrapper,139
/home/cadappl_RHEL8/python3/3.8.0/wrapper/python3.wrapper,1
reconstruct,137
/buildstore/bin/reconstruct,27
/buildstore/git/fc-023/worktrees/BB-023-0007A/reconstruct,18
/buildstore/git/fc-023/worktrees/BB-023-0008A/reconstruct,7
/buildstore/git/fc-023/worktrees/BB-023-0010A/reconstruct,4
/buildstore/git/fc-023/worktrees/BB-023-0011A/reconstruct,3
/buildstore/git/fc-0326/worktrees/BB-326-0020A/reconstruct,10
/buildstore/git/fc-0326/worktrees/ws-0020A/reconstruct,7
/buildstore/git/shadow-bazel-fc-023-back/reconstruct,1
/buildstore/scmc/worktrees/BB-040-0025A/reconstruct,1
/home/btorres/.cache/launchR/downloads/v10.97.0/reconstruct,1
/home/joblooij/bin/reconstruct,7
/home/jonispe1/.cache/launchR/downloads/10.122.0/reconstruct,4
/home/jonispe1/bin/reconstruct,4
/home/omhassan/.cache/launchR/downloads/v10.42.0/reconstruct,3
/home/omhassan/.cache/launchR/downloads/v10.92.0/reconstruct,5
/home/omhassan/bin/reconstruct,12
/home/rmahendr/.cache/launchR/downloads/10.131.0/reconstruct,10
/home/rmahendr/.cache/launchR/downloads/10.133.0/reconstruct,11
/home/rmahendr/.cache/launchR/downloads/10.139.0/reconstruct,1
/home/rmahendr/.cache/launchR/downloads/10.139.1/reconstruct,1
conmon,134
/usr/bin/conmon,134
encrypt_python.bin,132
/buildstore/_bazel_rmahendr/1a542c6378d172af3aab2f84ceeed936/external/rules_asml_python_default_PY2/encrypt_python.bin,132
build_env.plugin.sh,132
/vobs/vb10/acd_dbc/xscm/build_env.plugin.sh,1
/vobs/vb102/acd_uls/xscm/build_env.plugin.sh,2
/vobs/vb109/acd_synchronization/xscm/build_env.plugin.sh,1
/vobs/vb116/acd_ls_ag/xscm/build_env.plugin.sh,2
/vobs/vb117/acd_dyn_peripheral_common/xscm/build_env.plugin.sh,17
/vobs/vb125/acd_rga_euv/xscm/build_env.plugin.sh,1
/vobs/vb130/acd_wh_euv_gen1/xscm/build_env.plugin.sh,1
/vobs/vb143/acd_common_fac/xscm/build_env.plugin.sh,2
/vobs/vb151/acd_wtc_common/xscm/build_env.plugin.sh,1
/vobs/vb156/acd_wh_common/xscm/build_env.plugin.sh,1
/vobs/vb157/acd_ls_common/xscm/build_env.plugin.sh,2
/vobs/vb158/acd_ls_ag_common/xscm/build_env.plugin.sh,3
/vobs/vb181/acd_proj_duv/xscm/build_env.plugin.sh,2
/vobs/vb195/acd_wh_euv_gen2/xscm/build_env.plugin.sh,1
/vobs/vb224/acd_wh_duv/xscm/build_env.plugin.sh,1
/vobs/vb231/acd_euv_aldi/xscm/build_env.plugin.sh,1
/vobs/vb233/acd_ls_uv/xscm/build_env.plugin.sh,4
/vobs/vb237/acd_eb_application/xscm/build_env.plugin.sh,2
/vobs/vb255/acd_ls_vis/xscm/build_env.plugin.sh,3
/vobs/vb258/acd_wtc_duv/xscm/build_env.plugin.sh,1
/vobs/vb259/acd_wtc_euv/xscm/build_env.plugin.sh,1
/vobs/vb28/acd_dyn_peripheral_euv/xscm/build_env.plugin.sh,16
/vobs/vb295/acd_dyn_application_common/xscm/build_env.plugin.sh,12
/vobs/vb307/acd_dyn_application_duv/xscm/build_env.plugin.sh,14
/vobs/vb324/acd_wh_common_components/xscm/build_env.plugin.sh,1
/vobs/vb360/40224348406/xscm/build_env.plugin.sh,1
/vobs/vb366/acd_dyn_application_euv/xscm/build_env.plugin.sh,17
/vobs/vb399/acd_rs_duv/xscm/build_env.plugin.sh,1
/vobs/vb403/acd_dyn_peripheral_duv/xscm/build_env.plugin.sh,16
/vobs/vb447/acd_wh_duv_common/xscm/build_env.plugin.sh,2
/vobs/vb6/acd_wh_euv/xscm/build_env.plugin.sh,1
/vobs/vb82/acd_rema_duv/xscm/build_env.plugin.sh,1
ctxvda,132
/opt/Citrix/VDA/sbin/ctxvda,132
yat,131
/buildstore/exodus-own/.venv/bin/yat,130
/home/btorres/Downloads/yat,1
